Province,Year,UnEmp,Part,Emp
Newfoundland and Labrador,1976,13.4,49.4,42.8
Newfoundland and Labrador,1977,15.4,50.6,42.8
Newfoundland and Labrador,1978,15.9,51.7,43.5
Newfoundland and Labrador,1979,14.8,53.4,45.5
Newfoundland and Labrador,1980,13.3,53.2,46.2
Newfoundland and Labrador,1981,13.5,53.5,46.3
Newfoundland and Labrador,1982,16.2,53.1,44.5
Newfoundland and Labrador,1983,18.1,53.3,43.7
Newfoundland and Labrador,1984,20.1,53.5,42.8
Newfoundland and Labrador,1985,20.2,54.2,43.3
Newfoundland and Labrador,1986,18.8,54.3,44.1
Newfoundland and Labrador,1987,17.8,54.2,44.6
Newfoundland and Labrador,1988,16.2,55.3,46.3
Newfoundland and Labrador,1989,15.5,56,47.4
Newfoundland and Labrador,1990,17,56.7,47
Newfoundland and Labrador,1991,18,56.2,46.1
Newfoundland and Labrador,1992,20,54.4,43.5
Newfoundland and Labrador,1993,20.1,53.9,43
Newfoundland and Labrador,1994,20,53.8,43.1
Newfoundland and Labrador,1995,18,53.1,43.5
Newfoundland and Labrador,1996,18.9,52.5,42.6
Newfoundland and Labrador,1997,18.1,52.7,43.1
Newfoundland and Labrador,1998,17.6,54.2,44.6
Newfoundland and Labrador,1999,16.7,56.2,46.8
Newfoundland and Labrador,2000,16.6,55.5,46.3
Newfoundland and Labrador,2001,16,56.8,47.7
Newfoundland and Labrador,2002,16.7,58.2,48.5
Newfoundland and Labrador,2003,16.5,59.1,49.4
Newfoundland and Labrador,2004,15.6,59.1,49.9
Newfoundland and Labrador,2005,15.2,58.7,49.7
Newfoundland and Labrador,2006,15,59.3,50.4
Newfoundland and Labrador,2007,13.7,59.4,51.2
Newfoundland and Labrador,2008,13.3,59.7,51.8
Newfoundland and Labrador,2009,15.8,59.2,49.9
Newfoundland and Labrador,2010,14.9,60.3,51.3
Newfoundland and Labrador,2011,13.1,60.8,52.8
Newfoundland and Labrador,2012,12.8,62.1,54.2
Newfoundland and Labrador,2013,11.8,61.7,54.4
Newfoundland and Labrador,2014,12.5,61.4,53.7
Newfoundland and Labrador,2015,13.2,61.8,53.6
Newfoundland and Labrador,2016,13.8,60.7,52.4
Newfoundland and Labrador,2017,15.2,59.5,50.4
Newfoundland and Labrador,2018,14.1,59.1,50.7
Newfoundland and Labrador,2019,12.2,58.7,51.6
Newfoundland and Labrador,2020,14.4,56.4,48.4
Newfoundland and Labrador,2021,13.1,57.6,50
Newfoundland and Labrador,2022,11.3,58.4,51.9
Newfoundland and Labrador,2023,10,57.8,52
Prince Edward Island,1976,9.3,57.1,51.9
Prince Edward Island,1977,9.5,57,51.5
Prince Edward Island,1978,9.7,57.4,51.8
Prince Edward Island,1979,11.6,59.3,52.4
Prince Edward Island,1980,10.5,59.5,53.2
Prince Edward Island,1981,11.3,58.7,52
Prince Edward Island,1982,12.6,58.5,51.2
Prince Edward Island,1983,12.2,60,52.7
Prince Edward Island,1984,12.5,60.1,52.6
Prince Edward Island,1985,13.5,61.5,53.2
Prince Edward Island,1986,13,62.6,54.5
Prince Edward Island,1987,12.3,63.2,55.5
Prince Edward Island,1988,12.2,64.2,56.3
Prince Edward Island,1989,13.7,65.3,56.4
