Game_ID,Date,Team,Opponent,Team_Score,Opponent_Score,Team_Win
1,2024-10-27,Liquid,GG,2,0,Win
2,2024-10-27,NGX,BB,1,1,Draw
3,2024-10-27,XG,nouns,1,1,Draw
4,2024-10-27,AVULUS,PARI,0,2,Lose
5,2024-10-27,Falcons,Tundra,1,1,Draw
6,2024-10-27,HEROIC,AR,1,1,Draw
7,2024-10-27,TSpirit,Waska,1,1,Draw
8,2024-10-27,Paliany,Talon,0,2,Win
10,2024-10-28,NGX,GG,0,2,Lose
11,2024-10-28,AVULUS,Liquid,1,1,Draw
12,2024-10-28,XG,BB,2,0,Win
13,2024-10-28,nouns,PARI,0,2,Lose
14,2024-10-28,Liquid,BB,0,2,Lose
15,2024-10-28,XG,NGX,1,1,Draw
16,2024-10-28,GG,PARI,1,1,Draw
17,2024-10-28,AVULUS,nouns,1,1,Draw
18,2024-10-28,Falcons,TSpirit,2,0,Win
19,2024-10-28,HEROIC,Tundra,0,2,Lose
20,2024-10-28,Talon,AR,2,0,Win
21,2024-10-28,Paliany,Waska,0,2,Lose
22,2024-10-28,Falcons,HEROIC,2,0,Win
23,2024-10-28,Paliany,TSpirit,0,2,Lose
24,2024-10-28,Talon,Tundra,0,2,Lose
25,2024-10-28,AR,Waska,1,1,Draw
26,2024-10-29,BB,GG,1,1,Draw
27,2024-10-29,XG,PARI,1,1,Draw
28,2024-10-29,nouns,Liquid,0,2,Lose
29,2024-10-29,NGX,AVULUS,1,1,Draw
30,2024-10-29,Liquid,NGX,2,0,Win
31,2024-10-29,GG,nouns,2,0,Win
32,2024-10-29,PARI,BB,1,1,Draw
33,2024-10-29,XG,AVULUS,1,1,Draw
34,2024-10-29,Tundra,TSpirit,1,1,Draw
35,2024-10-29,Falcons,Talon,2,0,Win
36,2024-10-29,AR,Paliany,2,0,Win
37,2024-10-29,Waska,HEROIC,2,0,Win
38,2024-10-29,Falcons,Paliany,2,0,Win
39,2024-10-29,Talon,HEROIC,1,1,Draw
40,2024-10-29,AR,TSpirit,0,2,Lose
41,2024-10-29,Waska,Tundra,1,1,Draw
42,2024-10-30,XG,Liquid,1,1,Draw
43,2024-10-30,PARI,NGX,2,0,Win
44,2024-10-30,BB,nouns,1,1,Draw
45,2024-10-30,GG,AVULUS,0,2,Lose
46,2024-10-30,XG,GG,1,1,Draw
47,2024-10-30,PARI,Liquid,1,1,Draw
48,2024-10-30,nouns,NGX,1,1,Draw
49,2024-10-30,BB,AVULUS,2,0,Win
50,2024-10-30,Tundra,Paliany,2,0,Win
51,2024-10-30,TSpirit,HEROIC,2,0,Win
52,2024-10-30,Waska,Talon,2,0,Win
53,2024-10-30,Falcons,AR,1,1,Draw
54,2024-10-30,Tundra,AR,1,1,Draw
55,2024-10-30,Falcons,Waska,1,1,Draw
56,2024-10-30,TSpirit,Talon,1,1,Draw
57,2024-10-30,HEROIC,Paliany,1,1,Draw
